director_id	genre	prob
11652	Action	0.5
11652	Adventure	0.166667
11652	Comedy	0.0833333
11652	Documentary	0.25
11652	Drama	0.25
11652	Family	0.0833333
11652	Fantasy	0.0833333
11652	Horror	0.166667
11652	Romance	0.25
11652	Sci-Fi	0.5
11652	Short	0.25
11652	Thriller	0.416667
43095	Action	0.0625
43095	Adventure	0.0625
43095	Comedy	0.125
43095	Crime	0.1875
43095	Documentary	0.1875
43095	Drama	0.625
43095	Film-Noir	0.125
43095	Horror	0.0625
43095	Music	0.0625
43095	Mystery	0.0625
43095	Romance	0.1875
43095	Sci-Fi	0.1875
43095	Short	0.1875
43095	Thriller	0.1875
43095	War	0.375
78273	Action	0.5
78273	Comedy	0.25
78273	Crime	0.5
78273	Drama	0.75
78273	Mystery	0.125
78273	Romance	0.125
78273	Thriller	0.5
78273	War	0.125
