director_id	movie_id
11652	5306
11652	10920
11652	10934
11652	96779
11652	105938
11652	127297
11652	256530
11652	322652
11652	328277
11652	328285
11652	333856
11652	340799
11652	369522
11652	385710
43095	1711
43095	30431
43095	65764
43095	79846
43095	92616
43095	106666
43095	110246
43095	116239
43095	121538
43095	176891
43095	177019
43095	193519
43095	250612
43095	291833
43095	299073
43095	310455
78273	118367
78273	159665
78273	164572
78273	176711
78273	176712
78273	223710
78273	267038
78273	276217
78273	387728
78273	393538
